bèːd,[]
àkìr,[]
tàːpɛ́ːɗɛ́,[]
kɔ́ːɲɔ́n,[]
nɛːkɛ,['Verb']
làkí,[]
cê,"['Demonstrative', 'Demonstrative']"
kócɛ́ŋk,[]
kàwɛ̀,"['Transitive verb', 'Transitive verb']"
ɓòkòtúnkɔ́ré,[]
yaikob,['Proper Noun']
dɛ́nɗîːŋ,['Intransitive verb']
kòŋk,[]
ɓáŋkáwrɔ́nꜜ,[]
gúːgúɲꜜáːŋ,[]
dɛ̀nà,"['Verb', 'Transitive verb']"
gòdèà,['Noun']
kúcúnꜜ,"['Intransitive verb', 'Intransitive verb']"
tòŋgúɗúꜜ,[]
tónɗí,[]
máɟáŋéːrɛ́k,[]
ɓèɗínꜜ,['Verb']
wɛ́ːŋꜜáꜜ,['Verb']
ɔ̀kɔ̀n,['Complementizer']
tàpáɗóŋk,[]
àìndîːŋ,[]
wɛ́jꜜ,['Noun']
tíná,['personal pronoun']
kàlkálꜜkáːŋ,[]
gój òmáltè,[]
cɛ̀gà,[]
cáː,[]
ŋàwíːtéɗꜜí,[]
ínꜜ,['Adverb']
mɛ̀lkíɗꜜ,['Participle']
kóŋkûɗ,['Participle']
dɛ̀nɛ́tì,['Verb']
tàmàːrɛ́,[]
kóllóɟꜜúnꜜ,['Verb']
kùcú,['Verb']
mɛ̀lɛ̀r,[]
cɛ̀ːk,[]
déːgárꜜ,[]
làŋ,['Verb']
ítꜜó,[]
ɛ́,['Coordinating conjunction']
tònútáꜜ,[]
gáŋgójêːr,['Noun']
tàɗápút,['Noun']
Kálákún,['Proper Noun']
ɓèɗíːꜜ,['Verb']
góːŋánꜜáːŋ,[]
túgáːt,['Noun']
ɛ́ɲɛ́,[]
gój,[]
gàɓɛ́ːrì,[]
ɟéːmɛ́ꜜ,['Noun']
ìn àːwòjɛ́,['Verb']
èkàŋɛ̀ːɗí,[]
câ,"['Demonstrative', 'Demonstrative']"
àmbàbɛ̀ː,[]
ɗéːgárꜜáːŋ,[]
cáːꜜ,['Adverb']
bàŋɛ́k,"['Quantifier', 'Quantifier']"
kúrꜜòj,[]
làŋírkîɗ,[]
cɔ̂k,[]
kúːkúrꜜáːŋ,[]
ɗàmàtòŋk,[]
kìr,[]
lòkòːcú,[]
bèːbèr,[]
ìcíꜜ nɔ́ɓɔ̌,[]
ɗíːkì,[]
pròjɛ́tꜜ,[]
ɗéːk,['Adverb']
mɛ̀ckɛ̀bíːꜜ,[]
célcélɛ́kòŋk,['Noun']
téjánꜜ,['Verb']
mèlkíɗ,[]
gàɓɛ́,[]
gàj,['Verb']
dèíŋké,[]
wàrgátɛ́,['Noun']
káːkácíː,['Verb']
góːrájɛ́,[]
bɔ̀dáːŋ,[]
bɔ̀díːꜜ,[]
àgúꜜt,[]
cɛ́ːkꜜ,[]
dɛ́nɗíꜜkáːŋ,['Intransitive verb']
cìnéːnâ,[]
ɓèɗǐːr,['Verb']
ɗɛ́jɛ́r,[]
bóŋîɗ,[]
cɔ́ːk,[]
làkíː,[]
áríɗɛ́ꜜ,[]
ɟègúj,['Noun']
ɓèɗí,['Verb']
tònkɛ́ꜜ,[]
bòŋú,['Verb']
òmáːj,[]
tɔ́ːnáꜜ,[]
wóɗí,['Noun']
à,['Coordinating conjunction']
bándúrꜜɛ́,['Verb']
ɟàrtí,"['Noun', 'Noun']"
dɛ̀nɛ́ːtꜜár,[]
tùːláːŋ,[]
méntáːnáꜜ,['Verb']
lákì,[]
ɗàmún,[]
mùkèɗ,[]
ɛ̀kík,[]
Nɛ̀,[]
ɟùmùríːꜜ,[]
cɛ́ŋkꜜ,[]
bèːɗìt,[]
ɛ̀kánꜜ,[]
ɛ̀ːɲɛ̀káːŋ,[]
bòŋɛ́ꜜ,['Verb']
étà,[]
tíjꜜáːŋ,[]
wàlágɛ́àk,[]
cìgáːgá,[]
táːmɛ́tàkáŋkí,[]
àmbàbɛ́ꜜ,[]
cìnɛ̀,"['Demonstrative', 'Relative pronoun']"
gáːgɛ̀,['Noun']
ɲéːwúr,['Verb']
àtùkídí,[]
ŋàːrák,['Verb']
ɟártíáːtɔ́kꜜ,"['Noun', 'Noun']"
pôː,[]
cɛ̂,[]
ɛ̀jɛ́ kéːrɛ̀,[]
gàɓɛ̀rk,[]
cɔ̀ːlíláŋtꜜ,[]
jàrtíkɔ́ŋkúk,[]
gòrgórꜜkáːŋ,[]
gùràpàrdàk,[]
ɓàrtɛ̀ːɗ,['Verb']
rɔ́ríꜜɛ́,[]
ŋájórꜜáːŋ,[]
rɛ̌rŋ,[]
bádɛ́,"['Infinitive', 'Negative']"
ɓáŋkáːwúr,[]
ɲìlgíːꜜkáːŋ,[]
ɓɔ́ːkáŋꜜɔ́ŋk,[]
ɟòːráːŋ,[]
tàːpɛ́ꜜ,[]
bándúrán,"['Infinitive', 'Negative']"
ìɟáːgɗíːꜜ,[]
ràkàtɛ̀ːt,[]
kòrúnꜜ,"['Verb', 'Verb']"
càkáːgéꜜ,[]
kɛ́ːɗíːꜜ,[]
wôːɗ,['Interrogative pro-form']
kàt,['Auxiliary']
lɛ̀ːwɛ̀t,[]
dákɛ́ꜜ,[]
tàmàrɛ̀t,[]
kúròjk,['Noun']
càːkóm,['Noun']
máɟáŋéːrôŋk,[]
kɛ́jnꜜ,[]
làngákɔ́ː,[]
ɗùɗùn,['Verb']
tònúrkûɗ,[]
ìːníŋ,[]
ɟóːnè,[]
cé,[]
ɟártíáːtɔ̀,['Noun']
òːɗín,[]
ràkátɛ́ːk,[]
gúːgúɲ,['Verb']
wɔ̀ːwɔ́ɟꜜ,[]
láláŋíkìː,[]
ŋàːráːŋ,[]
cáːɓɔ̀ dɛ̀nɛ́ɗíːk,[]
étè,[]
ɗírkínꜜ,['Verb']
gɔ́,[]
cámɓójꜜáːŋ,[]
gɛ́ːŋkík,['Possessive pronoun']
rɔ́ːríɔ́n,[]
èːɟɛ́,['Noun']
nánájí,[]
ítò,[]
átóꜜ,"['Noun', 'Noun']"
ɓɔ̀lɔ̀ːrɛ́,[]
kérkéɗꜜáːŋ,[]
tɔ́n,[]
kòcìjéjóŋk,[]
dòáːrík,['Noun']
gɔ̀ːnùráːŋ,[]
dùrìrìɗ,['Participle']
mó,['Adverb']
